Cell	Batch	group	ExpLibSize
Cell2	Batch1	Group4	55045.211935979336
Cell3	Batch1	Group2	46942.962765139586
Cell5	Batch1	Group1	72692.13311775407
Cell6	Batch1	Group3	50267.15714478282
Cell7	Batch1	Group4	71431.82077986447
Cell11	Batch1	Group2	57801.51179249036
Cell16	Batch1	Group4	60782.525139232435
Cell20	Batch1	Group2	32291.376395933472
Cell22	Batch1	Group2	64176.6589613515
Cell23	Batch1	Group3	59747.499047330995
Cell27	Batch1	Group2	60470.09152848558
Cell30	Batch1	Group2	69802.51829486103
Cell31	Batch1	Group3	55998.58265270814
Cell32	Batch1	Group2	64108.98003048688
Cell33	Batch1	Group3	35474.646469347615
Cell34	Batch1	Group3	60575.56962875652
Cell35	Batch1	Group3	51377.9749089028
Cell36	Batch1	Group4	62404.34849785896
Cell39	Batch1	Group4	54364.24118877251
Cell40	Batch1	Group2	60255.227829446245
Cell43	Batch1	Group2	44600.34473848163
Cell48	Batch1	Group3	66989.11596906635
Cell49	Batch1	Group2	49643.92670026899
Cell50	Batch1	Group3	76592.1406419619
Cell56	Batch1	Group3	98457.3787529401
Cell61	Batch1	Group4	73917.23161412794
Cell62	Batch1	Group3	55466.48636108551
Cell63	Batch1	Group4	46823.27775549405
Cell65	Batch1	Group2	51513.85532245833
Cell66	Batch1	Group4	54505.22979637784
Cell69	Batch1	Group3	74491.16758845026
Cell71	Batch1	Group2	51169.56853776723
Cell72	Batch1	Group2	84853.52779481266
Cell73	Batch1	Group1	47008.062171698446
Cell74	Batch1	Group2	57964.54317140159
Cell76	Batch1	Group2	63575.42053761479
Cell80	Batch1	Group3	57186.93516037964
Cell83	Batch1	Group4	44021.57951072861
Cell84	Batch1	Group3	60670.07180588897
Cell87	Batch1	Group2	66248.06747901038
Cell89	Batch1	Group1	79171.18267921747
Cell91	Batch1	Group2	85936.28365559668
Cell96	Batch1	Group4	52966.215119169225
Cell97	Batch1	Group2	63829.30664853533
Cell100	Batch1	Group4	59095.981328852904
Cell101	Batch1	Group4	59795.92531779838
Cell102	Batch1	Group3	90898.4676206882
