Cell	Batch	group	ExpLibSize
Cell1	Batch1	Dunno	81807.75476847978
Cell4	Batch1	Mystery celltype	62730.6390003853
Cell8	Batch1	Mystery celltype	71526.13637673049
Cell9	Batch1	Weird subtype	55765.83796711112
Cell10	Batch1	Dunno	57154.759125106255
Cell12	Batch1	Dunno	44653.9600760209
Cell13	Batch1	Mystery celltype	56977.54532670995
Cell14	Batch1	Exciting	79621.80423861962
Cell15	Batch1	Mystery celltype	73021.20728154207
Cell17	Batch1	Exciting	68663.57960914526
Cell18	Batch1	Mystery celltype	61380.02858108507
Cell19	Batch1	Exciting	49105.04257428885
Cell21	Batch1	Mystery celltype	48745.50674600157
Cell24	Batch1	Dunno	80939.53138566627
Cell25	Batch1	Mystery celltype	60337.961437687976
Cell26	Batch1	Dunno	71523.80437229766
Cell28	Batch1	Dunno	51926.06440250282
Cell29	Batch1	Dunno	58694.172070632536
Cell37	Batch1	Mystery celltype	51880.90421612222
Cell38	Batch1	Exciting	64803.71304274764
Cell41	Batch1	Exciting	52603.54365645042
Cell42	Batch1	Weird subtype	44843.82704880153
Cell44	Batch1	Mystery celltype	68350.05378878301
Cell45	Batch1	Mystery celltype	63382.24898997591
Cell46	Batch1	Exciting	60935.07649125598
Cell47	Batch1	Mystery celltype	56677.477360313824
Cell51	Batch1	Dunno	47362.250320482985
Cell52	Batch1	Exciting	57894.476854201625
Cell53	Batch1	Exciting	70101.1065954678
Cell54	Batch1	Dunno	59282.29335149211
Cell55	Batch1	Mystery celltype	55565.21798107001
Cell57	Batch1	Mystery celltype	91518.44169688094
Cell58	Batch1	Exciting	56104.558317678595
Cell59	Batch1	Mystery celltype	56100.782528681935
Cell60	Batch1	Mystery celltype	74079.76508395211
Cell64	Batch1	Dunno	51327.57192778397
Cell67	Batch1	Dunno	56461.29586910634
Cell68	Batch1	Dunno	54679.35005965752
Cell70	Batch1	Exciting	70215.6929388313
Cell75	Batch1	Exciting	57225.43833009415
Cell77	Batch1	Dunno	29879.48368797497
Cell78	Batch1	Mystery celltype	58249.49191451221
Cell79	Batch1	Dunno	62975.96035025468
Cell81	Batch1	Exciting	66246.82544356218
Cell82	Batch1	Weird subtype	93246.34528982667
Cell85	Batch1	Exciting	79589.44691883637
Cell86	Batch1	Exciting	64036.026674086905
Cell88	Batch1	Mystery celltype	58718.03624087147
Cell90	Batch1	Exciting	64365.74649030141
Cell92	Batch1	Mystery celltype	66218.46267656592
Cell93	Batch1	Exciting	72973.980033263
Cell94	Batch1	Dunno	79160.24380591838
Cell95	Batch1	Weird subtype	64088.031522976635
Cell98	Batch1	Dunno	53420.482214087046
Cell99	Batch1	Mystery celltype	55899.847634598016
Cell105	Batch1	Exciting	82964.58191610064
Cell108	Batch1	Mystery celltype	64238.852406326834
Cell109	Batch1	Dunno	56544.30180616188
Cell110	Batch1	Dunno	58837.71107179407
Cell113	Batch1	Exciting	39050.78756002819
Cell115	Batch1	Mystery celltype	42787.25855694832
Cell117	Batch1	Dunno	64127.35849047081
Cell118	Batch1	Dunno	53634.30521743906
Cell120	Batch1	Dunno	62831.76965151383
Cell128	Batch1	Weird subtype	49168.365335475275
